precinct,arrival_time,voting_duration,start_time
Downtown (1),6.778382337592356,2.1067422906561966,6.778382337592356
Downtown (1),7.0114121007335966,5.132634288656083,8.885124628248553
Downtown (1),25.269021523693226,2.675518167113834,25.269021523693226
Downtown (1),26.885751280514842,1.0992512546497564,27.944539690807062
Downtown (1),33.48335643173085,10.077384767333019,33.48335643173085
Downtown (2),6.778382337592356,2.1067422906561966,6.778382337592356
Downtown (2),7.0114121007335966,5.132634288656083,8.885124628248553
Downtown (2),25.269021523693226,2.675518167113834,25.269021523693226
Downtown (2),26.885751280514842,1.0992512546497564,27.944539690807062
Downtown (2),33.48335643173085,10.077384767333019,33.48335643173085
Downtown (3),6.778382337592356,2.1067422906561966,6.778382337592356
Downtown (3),7.0114121007335966,5.132634288656083,8.885124628248553
Downtown (3),25.269021523693226,2.675518167113834,25.269021523693226
Downtown (3),26.885751280514842,1.0992512546497564,27.944539690807062
Downtown (3),33.48335643173085,10.077384767333019,33.48335643173085
