GOOG,BNCN,C,CS,GS,AMZN,BBY,COST,WAG,WFM,TEVA,DJIA
-0.0036472188971100002,-0.0238106486937,0.0,0.013004084423200002,0.000591891109319,0.00433370125712,0.0181273845926,-0.00141542840333,0.010666767804199999,-0.0325231917056,-0.00199005040801,0.0017464412147300001
0.0113947232395,0.0238106486937,0.014213437250099999,0.0128371467607,0.005311313754810001,0.012889544725999999,0.0178046246335,-0.0185852383033,0.0131754211586,0.0,-0.00800004266708,0.0027077948884299996
0.00736199644107,-0.011834457647,-0.00404040953701,0.010152371464,-0.010650988263299998,-0.00857454342458,-0.014815085785100001,-0.0043384015986,0.0026143805740700002,-0.018770102682000002,0.025769513179099996,-0.00217761752313
0.00471583929499,-0.0119761910467,-0.0020263431452300002,-0.017834867636,-0.008963310681829999,-0.00215517324798,0.005952398527300001,0.0,-0.00523561405394,0.010471299867299999,0.009737175277860001,-0.00193393864829
-0.00357549543924,0.0119761910467,-0.00610378293802,0.0,-0.00541680530023,-0.004324331063,0.0147278067102,-0.00290275965796,0.0207799684917,0.004158010148659999,0.00386847677792,-0.0032000576379200003
0.0029263555268,-0.0119761910467,0.00610378293802,0.00768249617202,-0.00241691960554,-0.0016264573929699998,-0.005865119452399999,0.00868312257346,-0.0025740039951700003,0.014418375424299999,-0.007751976804319999,0.00295162639427
0.0012978587155999999,0.0,0.0260274952448,0.042453316252300005,0.013818183220999999,-0.00162910706679,-0.0029455102297600002,0.00574714225557,0.00770222036209,0.0101730277131,0.0116055461203,0.007137033436560001
-0.00032430679707,0.0,-0.00793654959574,0.0024420036555500005,-0.000596836782861,0.0081191244385,-0.0029542118974299997,0.00143163947144,0.0127066512691,0.0455073573205,0.0019212301778900002,-0.00200108210325
0.0120900964879,0.0,0.017769470512,0.026475673983999998,0.0195099300893,0.017103570327000002,0.0029542118974299997,0.012793351459899998,-0.005063301956550001,0.0134488098126,-0.005774799493880001,0.00471105330644
0.0245323690198,0.0238106486937,-0.0646689927928,-0.00715140115763,-0.0017579846309,0.013161548242799997,-0.0148591144037,0.00141143283841,0.0126105075919,0.00190657827058,0.0019286409064100001,0.00428356817055
-0.0124283830551,-0.0238106486937,-0.00838579337627,-0.00720291229406,-0.048057294953800005,-0.0232814748226,-0.00600602406021,-0.00849863472146,-0.017699577099400003,-0.017291497110099998,-0.00773698250215,-0.00107340130578
